L,scale,ratio_mean,ratio_std_new,ratio_max_new,ratio_argmax_flat,n,file,L_old,ratio_std_old,ratio_max_old
33.240507431892546,0.0300651135329273,0.999379629831963,0.17286156278977366,2.3567978849118485,2700,10562,000000.npy,59.19787337518417,0.1346916766290981,2.6194108980204933
29.02845702740896,0.034379085576242044,0.9979718082915575,0.18458782692044312,1.9374739028472925,3514,16001,000001.npy,65.38192254769564,0.1247378911638663,1.930374041968564
33.48648713886417,0.029742043317195176,0.9959565510247973,0.17160145552164213,2.0690133078449535,798,15868,000002.npy,72.82885102238235,0.1182231922130435,2.2748941075040343
42.088721476977945,0.023689542639756613,0.997062562081709,0.15342645842194041,2.574040171835843,878,15989,000003.npy,89.84715290622061,0.1064295787857713,2.274382499074893
15.301388164593137,0.06443517947288925,0.9859476925699022,0.2455635129936281,2.518095294244232,5591,16374,000004.npy,12.296128710719213,0.3611576190474187,9.433537803519092
32.16655801640654,0.031029661339645517,0.9981174017111546,0.17210556488640072,2.3476084633282213,13663,16374,000005.npy,40.06441542731889,0.1729858047641361,6.087555015305063
33.88999964786064,0.029438194867904284,0.9976604137069292,0.16756196757373107,2.5521354932765368,15842,16376,000006.npy,41.43216465704515,0.1694928894636004,4.316553431292269
32.543404737952216,0.030724706585645457,0.999886561871486,0.17203893556641453,2.261410942411062,14811,16375,000007.npy,40.03732139440074,0.1743027837473837,6.473781482746541
21.42089935335546,0.04646123133571074,0.9952413602752247,0.2122086551603853,2.629903682926632,1694,16349,000008.npy,23.6692927665032,0.2295498950689194,5.208356159259067
24.97788639529605,0.03980187987405895,0.9941668338134646,0.1974048963798488,2.419033541173142,1949,16356,000009.npy,28.339659202155413,0.210938831328009,4.655336398911383
20.93378023985139,0.0476569038244871,0.9976391515735461,0.2153871189048715,2.5328106741357996,1154,16346,000010.npy,26.772903445042388,0.2176127185523379,5.361011399460286
32.26384991811461,0.030866048647008527,0.9958575611123076,0.1729555708677021,1.9789492960658217,3433,16368,000011.npy,32.565391296843465,0.1954737920236059,4.462437108695969
26.62596544632613,0.03752169649559459,0.9990513943792378,0.19298336691766835,2.159169431000514,1909,16373,000012.npy,40.949588853275415,0.160685407273435,2.995880684329805
20.8519763054011,0.04775946299280581,0.9958791906846675,0.21602661265962472,2.9531640438921567,15479,16381,000013.npy,26.495370863557795,0.228730083863469,7.598675277812614
26.562608838476393,0.03752786301713957,0.996837945868203,0.19154640943020498,2.5986197503721162,14460,16383,000014.npy,32.13437425166168,0.2107866290931177,6.712775698923864
25.563893939036912,0.03890160992770877,0.9944766302497323,0.1944339989477495,2.869167907419273,14970,16382,000015.npy,27.048539803443266,0.2307663800716332,6.2399159270712685
26.849011371780875,0.03718212340434135,0.9983032541101208,0.18792130624531583,2.3241150661873125,14786,16319,000016.npy,52.47849096185772,0.1507875221553791,5.575887460013024
28.98026617605066,0.03423941471754659,0.9922673522266865,0.1815091381010613,2.0859523318896183,1502,16383,000017.npy,28.47249796980018,0.2270606393418001,4.843576543024494
26.40114206530128,0.037636346897843696,0.9936425412689326,0.18976231491454187,2.468915100786986,509,16383,000018.npy,30.160054401190475,0.214698361826141,5.494514659247383
28.35028908762189,0.035013930057970655,0.9926550392372414,0.18272656075910096,2.2812834381287974,644,16384,000019.npy,29.412565997108736,0.2209029151610322,5.756154158826533
46.53261752437243,0.021429883454093333,0.9971885703612021,0.1458674141802768,1.7023915438426813,1129,16383,000020.npy,105.20386396915671,0.0978844338367591,1.7936621527837824
41.13712013946946,0.024221445048144694,0.9964004948970859,0.1543117924123953,2.0254725356494934,1796,16325,000021.npy,75.25951773687687,0.1184838211721744,2.934821995828485
37.1362919131397,0.02680802980194316,0.9955508203411098,0.16223728194999146,1.765737660938438,13910,16229,000022.npy,66.72539914441029,0.1267137266284905,3.6763443702573713
43.214509871042026,0.02307796248820946,0.9973028377502653,0.150513000741092,1.7264973261620309,3075,16252,000023.npy,74.94616116268746,0.1199075645085075,3.26388426092523
14.659610344726529,0.06742461190170652,0.9884185381234284,0.25474479021206303,3.0630767500276352,14094,16336,000024.npy,13.577401892497315,0.3110653153630813,6.105966034383903
17.3515256435049,0.056867390736635916,0.986735988645951,0.22992113278820364,2.9220123504469844,5384,16243,000025.npy,14.525630851765316,0.3114756847805955,7.450076861323464
18.603024197138236,0.053199033536294946,0.9896629081400634,0.225041533507166,2.6230839674955284,766,16247,000026.npy,14.742584947678726,0.3114352698725881,6.724381873304092
16.12895983636093,0.06123017707732119,0.9875790668533811,0.24084753459357736,2.66688830380888,382,16246,000027.npy,14.112345671959044,0.3155403966487838,6.76221480980911
43.85651565120677,0.022803777930451092,1.0000942437134719,0.15032327488460875,1.926725358155616,16176,16344,000028.npy,81.60786152751595,0.1133224973598008,3.047385964260385
24.357703984963866,0.04101586581346784,0.9990523181714488,0.1991936493526346,2.1261469295986952,4807,16355,000029.npy,40.58685381649139,0.1720627791087446,5.032987903749671
34.2322556208386,0.029168695646984003,0.9985102455139986,0.16878108000312744,2.326088370716801,15,16366,000030.npy,48.20437630837671,0.1593665566517223,4.276925101566933
26.66993640766469,0.037518134602608534,1.0006062639857738,0.19121381886745492,2.869461486153698,1790,16354,000031.npy,42.99726835167192,0.1687738580588849,6.5971860127980415
36.52709652766021,0.02735361673893782,0.9991481990038039,0.16189534134854858,2.2454390335082928,16275,16301,000032.npy,58.19794318096632,0.1482188109288609,5.300528475158838
21.53191367737229,0.0462090011799576,0.9949682245244413,0.1981064489397382,3.3281557940092155,1168,15720,000033.npy,22.83363164679412,0.2704768799500446,7.190009077403322
24.548738233798186,0.04057067073087554,0.9959587757418813,0.18574576730175038,3.025271567689739,154,15805,000034.npy,27.94253823919675,0.2434722592918507,7.828275522898636
17.000562836721016,0.05849276224167469,0.994409879982973,0.22234519190672325,2.8868674238961614,1678,15638,000035.npy,20.615460302826524,0.2844446069880657,7.01735882245306
31.434491957055894,0.03174326766761375,0.9978334921882768,0.17695811860998184,2.1447685342512197,15239,16383,000036.npy,52.02772586996215,0.1600566332764409,7.240603083398462
38.1228963501547,0.026230098094698354,0.9999673109185756,0.16146436345338414,1.7799589325627465,15202,16346,000037.npy,69.04671801444643,0.1227741596444411,2.6397675506913707
27.797773493060507,0.035920959585513515,0.9985226982114854,0.18838765483943226,2.0754023802033474,6638,16351,000038.npy,54.18464233995496,0.1381641808459865,2.5909655270799017
45.08673146711889,0.02218202973003342,1.0001152178336645,0.1486736721601017,1.7982632248939794,4961,16351,000039.npy,76.5480701985712,0.1171243266743153,2.933370287520258
24.12346717086692,0.041353860162052676,0.9975984880078992,0.20153028549928112,2.142427709880609,5729,16357,000040.npy,42.92029461795559,0.1578241434912076,3.3882744703998853
20.731683262852542,0.04773360076802929,0.989597892118238,0.20611579601277594,2.7285514048205703,14714,15301,000041.npy,25.13804444945899,0.2331211885628324,5.370233774206723
14.534384901464321,0.0682583710462869,0.9920934375337018,0.24818033993860186,2.4881276347855663,14776,14798,000042.npy,19.384703664359755,0.2666779576288295,6.131390240458091
20.708868820680923,0.04783695590475272,0.9906492446122217,0.20735226384537211,2.303031252977519,14748,14783,000043.npy,23.15412066831628,0.2445784256943503,4.875406735579538
8.929812117966524,0.10871006679934705,0.9707604718497596,0.3027216449751953,3.1766693459102657,384,15525,000044.npy,6.746976904745992,0.5249007666240711,8.508882674100144
30.090104885306076,0.03318242277484729,0.9984625816437239,0.1805014656646619,1.9824915931488325,15582,16380,000045.npy,43.43054633820549,0.1696823288909496,6.077640077043122
30.056040954030486,0.03314343051786609,0.9961603050020471,0.17945627896667923,2.0034474124646677,15396,16375,000046.npy,40.30554010326766,0.1783482635920145,5.8059835490066245
29.484403296107047,0.033738246530189,0.9947520671995768,0.18187778657696071,2.1325493248377736,4249,16375,000047.npy,42.27614037570056,0.1686107219976381,5.397921715730992
23.55994988009354,0.042433787113969425,0.9997378976276787,0.20406476197921045,2.505011226395727,132,16383,000048.npy,37.52180372959869,0.1784250868904416,6.442813498402189
11.53383116310742,0.08601400599597013,0.9920710228200288,0.261396574302585,2.622482553159531,16025,16365,000049.npy,6.106317671259155,0.6725374267897193,13.589831474387331
11.073707704825502,0.08961089483098125,0.9923248565261448,0.2671068793734625,2.765595852554915,13044,16363,000050.npy,6.0770753816519285,0.6755833002938312,15.172380775102264
10.523464213915789,0.09476679036889393,0.9972749271147148,0.280305615803094,3.600655722859416,1424,16363,000051.npy,5.762965986248795,0.7042579616026112,11.418224702566867
41.49544921959089,0.024080814380614133,0.9992442102971678,0.15474108196003075,1.746513907961509,14765,16384,000052.npy,74.71002351588487,0.1168271710500634,2.6185508063226703
29.908382911717972,0.03328526640036157,0.9955084928205544,0.17234752559817057,2.109651065727708,12546,16327,000053.npy,36.40200217068693,0.1954868355761035,5.3082849424283
27.8689791447995,0.035734091857617195,0.9958726607382832,0.1803289732906861,2.6540431248180383,7806,16344,000054.npy,37.89951750341923,0.1876506616465067,4.620193331480412
23.886575280320937,0.04170310419631585,0.9961443378083665,0.19649437282778337,3.5751193190320283,13784,16309,000055.npy,34.164033804304104,0.1962610078265584,5.203181737155306
26.209316949515113,0.0379380510323506,0.9943304039537559,0.19029662932419122,2.496564646184702,15190,15772,000056.npy,37.72914131329282,0.1834486812052365,4.167277135112661
31.372572953878038,0.031847155110284645,0.9991271970708748,0.17775743765196836,1.9430558151493353,14454,16382,000057.npy,63.87197662741821,0.1260559891004533,1.9819690453079453
48.58429043906989,0.020607869438866947,1.001218714148344,0.1431996988003896,1.6791640534257968,12671,16384,000058.npy,93.2013204102992,0.1043363412627555,1.7515692573519182
33.24624377520154,0.029992842023171217,0.9971493374134593,0.17215085993010307,1.86566697408285,11256,16383,000059.npy,67.31138051395062,0.1222617908804325,1.7991233783543916
33.800764681380066,0.029482789833728932,0.9965408413204562,0.17163426293247694,2.664872269749099,245,16068,000060.npy,59.06530844334714,0.1374567149214558,4.972417427076315
